person_id,name,city,age
P001,Person A,Hyderabad,22
P002,Person B,Guntur,36
P003,Person C,Vijayawada,29
P004,Person D,Hyderabad,55
P005,Person E,Hyderabad,48
P006,Person F,Hyderabad,22
P007,Person G,Hyderabad,34
P008,Person H,Vijayawada,53
P009,Person I,Visakhapatnam,22
P010,Person J,Visakhapatnam,33
P011,Person K,Visakhapatnam,47
P012,Person L,Vijayawada,49
P013,Person M,Visakhapatnam,38
P014,Person N,Hyderabad,31
P015,Person O,Eluru,42
P016,Person P,Guntur,30
P017,Person Q,Vijayawada,42
P018,Person R,Hyderabad,26
P019,Person S,Eluru,27
P020,Person T,Guntur,43
P021,Person U,Visakhapatnam,37
P022,Person V,Hyderabad,50
P023,Person W,Visakhapatnam,28
P024,Person X,Eluru,26
P025,Person Y,Visakhapatnam,39
P026,Person Z,Visakhapatnam,44
